Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
Brunei,1801,2128,1800,1512,29.2,East Asia & Pacific
Bulgaria,1801,1992320,1800,1089,35.844,Europe & Central Asia
Burkina Faso,1801,1665421,1800,480,29.2,Sub-Saharan Africa
Burundi,1801,899097,1800,418,31.5,Sub-Saharan Africa
Cambodia,1801,2090000,1800,904,35,East Asia & Pacific
Cameroon,1801,1860054,1800,626,28.75,Sub-Saharan Africa
Canada,1801,645526,1800,1322,39.0014967741936,America
Cape Verde,1801,55716,1800,529,33.8,Sub-Saharan Africa
Cayman Islands,1801,2439,1800,1039,NA,America
Central African Republic,1801,479444,1800,424,30,NA
Chad,1801,1432000,1800,418,30.9,Sub-Saharan Africa
Channel Islands,1801,43908,1800,NA,NA,Europe & Central Asia
Chile,1801,771447,1800,1026,32,America
China,1801,321675013,1800,985,32,East Asia & Pacific
Christmas Island,1801,NA,1800,NA,NA,East Asia & Pacific
Cocos Island,1801,NA,1800,NA,NA,East Asia & Pacific
Colombia,1801,1206000,1800,963,32,America
Comoros,1801,56346,1800,697,32.1,Sub-Saharan Africa
"Congo, Dem. Rep.",1801,5163819,1800,487,31.6,Sub-Saharan Africa
"Congo, Rep.",1801,314465,1800,576,32.7,Sub-Saharan Africa
Cook Is,1801,16136,1800,NA,NA,NA
Costa Rica,1801,51987,1800,775,30.2147,America
Cote d'Ivoire,1801,1088530,1800,816,31.156,Sub-Saharan Africa
Croatia,1801,1227886,1800,NA,36.1,Europe & Central Asia
Cuba,1801,345043,1800,874,32.325,America
Cyprus,1801,184392,1800,854,38.5001263157895,Europe & Central Asia
Czech Republic,1801,5516349,1800,1916,34.9544,NA
Czechoslovakia,1801,NA,1800,NA,NA,Europe & Central Asia
Denmark,1801,1062514,1800,2017,38.5132847405481,Europe & Central Asia
Djibouti,1801,22848,1800,754,29.9,Middle East & North Africa
Dominica,1801,19950,1800,663,NA,America
Dominican Republic,1801,89000,1800,667,29.9,NA
East Germany,1801,NA,1800,NA,NA,Europe & Central Asia
Ecuador,1801,5e+05,1800,529,32.9,America
Egypt,1801,4243515,1800,791,33,Middle East & North Africa
El Salvador,1801,248000,1800,975,28.7,America
Equatorial Guinea,1801,80377,1800,356,29.8,Sub-Saharan Africa
Eritrea,1801,205010,1800,532,30.2,Sub-Saharan Africa
Eritrea and Ethiopia,1801,NA,1800,NA,NA,Sub-Saharan Africa
Estonia,1801,334136,1800,939,35.7000725782256,Europe & Central Asia
Ethiopia,1801,2948990,1800,523,29.7,Sub-Saharan Africa
Faeroe Islands,1801,13537,1800,NA,NA,Europe & Central Asia
Falkland Is (Malvinas),1801,100,1800,NA,NA,NA
Fiji,1801,130533,1800,785,26.1,East Asia & Pacific
Finland,1801,977662,1800,1246,40.2999893681334,Europe & Central Asia
France,1801,29355111,1800,1806,36.3746487788874,Europe & Central Asia
French Guiana,1801,9899,1800,NA,30.5,America
French Polynesia,1801,62530,1800,NA,25.6,East Asia & Pacific
Gabon,1801,158227,1800,390,30.6,Sub-Saharan Africa
Gambia,1801,103274,1800,813,28.8,Sub-Saharan Africa
Georgia,1801,1072178,1800,543,31.871,Europe & Central Asia
Germany,1801,22886919,1800,1651,38.37,Europe & Central Asia
Ghana,1801,2016034,1800,696,28,Sub-Saharan Africa
Gibraltar,1801,9873,1800,NA,NA,Europe & Central Asia
Greece,1801,2151155,1800,1374,36.6,Europe & Central Asia
Greenland,1801,9584,1800,393,33.8670031192147,Europe & Central Asia
Grenada,1801,29409,1800,959,31.4,America
Guadeloupe,1801,80726,1800,NA,27.655,America
Guam,1801,6053,1800,NA,27.5,East Asia & Pacific
Guatemala,1801,458965,1800,857,25.80016,America
Guernsey,1801,NA,1800,NA,NA,Europe & Central Asia
Guinea,1801,983959,1800,450,29.5103448275862,Sub-Saharan Africa
Guinea-Bissau,1801,218167,1800,777,32,Sub-Saharan Africa
Guyana,1801,166034,1800,1214,31.12,America
Haiti,1801,723000,1800,633,29,America
Holy See,1801,905,1800,NA,NA,Europe & Central Asia
Honduras,1801,126118,1800,675,33.9,America
"Hong Kong, China",1801,20000,1800,1007,34.9,East Asia & Pacific
Hungary,1801,3499771,1800,1249,36,Europe & Central Asia
Iceland,1801,61428,1800,926,33.8797927326943,Europe & Central Asia
India,1801,168574895,1800,1052,25.4424,South Asia
Indonesia,1801,16108545,1800,994,30,East Asia & Pacific
Iran,1801,6269721,1800,977,25.6,Middle East & North Africa
Iraq,1801,1076920,1800,970,31.2,Middle East & North Africa
Ireland,1801,4064749,1800,1447,38.3,Europe & Central Asia
Isle of Man,1801,23533,1800,NA,NA,Europe & Central Asia
Israel,1801,209954,1800,880,32,Middle East & North Africa
